,unique_id,0,1,2,3,4,5,6,7,8,9
0,45313,0.17921105,-15.719854,5.10673,6.124561,-8.49443,3.5873063,4.841106,-17.438824,21.30505,0.572846
1,8969,21.14449,-8.492746,2.934031,-6.937399,-1.1320013,-5.540327,3.2214007,-3.5696907,-1.6866858,-0.0986436
2,58388,-6.8845677,7.8523583,15.572307,7.4308767,-9.359517,-8.385776,-5.5508647,-0.86796397,5.5988393,-6.251592
3,43247,18.078392,-5.4232235,4.1493826,-5.141403,1.2710859,-7.9374743,4.144258,-7.0035768,-1.4594231,-1.7965868
4,37012,-5.957278,13.534324,0.16485049,-2.7701375,0.5671333,-4.030835,0.5927043,1.9675348,2.666942,-8.321591
5,26291,-12.75831,-3.513301,8.135506,27.04722,-13.525689,-0.847281,-13.21823,4.5487494,3.5442455,-1.2561274
6,26964,-8.238046,2.8999987,-5.9749465,2.3286855,3.3940425,-3.8627574,-15.48285,14.907116,0.9735421,7.8602476
7,37368,-9.789082,-9.452623,1.7869914,26.832602,-11.475844,5.2400804,-5.9005737,-3.6268466,4.1420527,0.6730264
8,46204,-5.9700837,11.531541,-3.8824725,-2.5097978,2.996813,-4.077244,-0.7208338,3.382446,1.0635813,-2.1600854
9,31596,-5.067534,-0.1878106,-1.1523155,9.238596,-0.12952957,2.5874221,-0.92406607,-8.353137,5.0102773,-2.94965
10,46708,-2.4022412,-6.215155,23.763365,2.0019138,-6.5341573,-9.221031,-2.7603817,3.6888607,6.1836696,-12.048577
11,36173,-11.72171,-6.3618536,-6.9225574,6.838917,-4.938115,21.873194,2.2270405,-6.3601847,4.5107837,-0.4208327
12,33773,-8.894543,-1.3335958,-9.585632,5.8613596,-2.2629209,19.284307,5.0987835,-12.658904,2.428921,0.51531214
13,15255,-7.489529,15.968989,-3.665118,-3.128163,3.8447833,-3.6915972,-1.3441035,2.63877,2.4015672,-6.5430164
14,33437,-6.4301505,-12.109202,-5.2677574,7.5922546,1.7019407,16.527758,-4.380501,-7.794722,4.8368273,4.563058
15,23061,-6.701024,-7.3083057,-5.2751155,4.684284,2.1324172,-2.859743,-11.8371105,10.039806,-0.49411485,18.913195
16,59121,2.8100145,-9.58217,-5.4683876,-5.637389,3.1197433,7.0057654,21.44629,-12.587063,0.47788253,-2.1705825
17,36038,3.7621655,-6.344534,-3.382155,-7.0094867,-1.844223,10.923117,21.991507,-13.447957,2.7473552,-8.749067
18,15150,19.875198,-10.083483,-3.3069975,-2.2022161,-6.4976697,-1.3269477,7.3504167,-2.3718102,0.5788013,-1.697722
19,26012,-12.170987,2.6052575,18.229483,10.281119,-9.367044,-12.710886,-5.9008646,3.2487342,9.606469,-7.5964193
20,13334,-11.150655,11.807889,-2.272402,-2.1348462,3.9069464,-2.1640599,-1.916491,3.0032222,1.7216562,-1.1846826
21,25982,-12.903113,6.8946266,1.4812315,6.536401,-4.1133933,-7.6186585,-13.186944,18.07593,1.0022502,3.060339
22,23513,-9.394316,-5.4131436,-4.7907915,0.7690336,13.702452,0.8013072,-6.231757,0.13393098,-0.81239736,10.381771
23,56094,-14.154324,6.394239,-7.5671325,-8.108351,21.455109,-0.061990395,-3.58817,6.0620804,-5.9276986,4.5764217
24,2666,-11.49808,6.184693,1.6535615,3.5871813,-3.6938033,-8.507004,-13.998343,21.896133,-2.737757,5.6812725
25,12064,-13.995887,2.9696438,-1.9896283,-9.304667,20.846443,-1.4171832,-8.456789,5.7185807,1.3583914,2.0048661
