x1,x2
38.56977,3.0789907
34.57933,2.8521242
33.691673,8.30457
32.410656,2.0518415
35.178402,-0.7993297
35.36775,7.720573
37.798054,0.49928495
29.152235,6.667741
10.316487,-13.427839
33.87732,3.416791
34.23118,3.6141665
37.0273,7.5278144
35.871567,3.1773212
33.800224,8.085793
33.524647,7.6014233
27.477642,5.7367287
31.819904,6.395064
39.41622,3.1499908
28.080597,2.8313205
37.468563,3.3095233
38.41784,7.613074
26.205786,6.5846896
29.647755,7.14126
35.226234,-0.74419034
31.028284,8.4019985
-0.28540865,1.2540082
33.715916,-1.1877407
33.009296,3.2667956
30.265516,1.8611702
27.531092,5.591755
33.769226,10.620312
33.684135,8.461042
2.7361212,0.28801516
30.090687,1.759886
23.31143,24.18254
35.062195,1.4583533
38.192844,7.9934382
38.932053,5.7691746
36.855324,1.5720031
35.367004,8.376445
39.565178,-0.795877
29.515068,8.54694
29.856676,6.9409504
38.98326,-0.47923592
26.866955,6.403976
29.427267,3.8434
36.39566,2.5520873
14.346016,-11.826313
36.22618,6.4204154
36.843533,2.8882513
35.447075,-0.3421466
33.628998,4.7997937
28.299587,8.054069
38.98531,3.5287337
33.386806,8.958849
6.363735,10.00016
36.023613,-0.09980162
37.998722,4.962767
27.9736,7.624135
37.192562,9.554262
32.610725,9.0437
37.29732,6.7584057
39.06416,4.5473733
31.315096,4.5924077
37.44738,1.6968601
34.212154,3.045655
28.980152,4.7388887
29.14303,5.698309
33.702232,2.3039217
30.775887,6.7361765
32.06901,8.862882
33.614105,2.7713425
34.345043,4.510364
35.233803,2.4327617
35.250343,1.5911927
35.319374,10.523411
35.242943,9.211714
36.59771,4.531607
27.766191,2.9236572
33.890854,5.082313
36.78772,1.6674824
27.55452,2.800045
30.946548,6.626766
35.536987,9.176901
14.521428,9.9439
32.45291,3.4759097
35.774418,4.494987
38.181854,8.075491
31.091455,5.380076
37.428062,4.633992
39.758022,-0.91585404
34.194263,9.12713
37.431984,8.290134
36.017292,5.5035877
30.93149,4.964689
24.310179,27.292992
34.82686,0.5542641
29.705952,4.7480783
-10.853351,11.715358
-9.57941,3.6855083
-4.4828424,-0.1519311
-5.1000133,-2.0949407
-12.366006,13.777037
-7.3784676,5.07536
-8.850267,-0.5569174
-5.776642,-1.4669522
-8.485694,7.233882
-8.300908,2.0858362
-3.809746,-3.7717226
-7.011389,4.547317
-7.487617,0.48182115
-5.321621,1.7764462
-4.966419,-1.4414723
-6.5001755,-4.5419736
-4.4155827,-4.000394
-7.8225236,2.3843634
-9.437912,2.4433308
-13.386348,8.113322
-13.005234,9.841064
-13.722395,9.45743
-2.9032085,-4.4435883
-9.444702,7.89081
-11.876591,7.0009494
-3.1285343,-5.180094
-12.545691,7.706815
-4.44806,-3.6206172
-11.727376,6.66014
-10.86901,7.378806
-4.152439,-3.4954658
-6.3619018,-1.0901767
-8.283831,2.7348347
-11.462119,5.6819873
-6.1297417,1.1440012
-11.350913,8.571826
-13.954543,12.41636
-7.612027,5.380267
-8.04756,1.8227276
-14.530109,8.282329
-14.6671295,15.614633
-10.77134,5.10488
-10.329791,10.584
-10.918401,7.682611
-4.182755,-3.1253238
-6.523654,-1.946319
-5.8396974,-3.1973243
-9.353143,3.062424
-10.856618,9.438941
-4.199496,1.4450898
-12.958791,9.666524
-12.156813,14.123087
-6.6616554,3.2589314
-13.395095,10.301449
-10.548555,3.6753945
-9.467195,7.1668572
-3.8998935,-5.0360427
-8.497841,8.350358
-6.746565,3.2122035
-3.90564,-2.6525671
-14.1594925,13.353187
-12.98789,13.145801
-9.091387,7.747061
-3.1029441,-2.8937006
-3.9843636,0.5433561
-12.194706,12.848583
-5.3078184,0.3813968
-6.9700565,4.80861
-1.9926277,-4.0473576
-12.911869,12.444539
-10.752458,4.608583
-8.766304,3.7632072
-4.345185,-5.7182107
-12.8219385,7.5160728
-5.053318,-3.2465467
-13.548321,11.360285
-14.654105,15.624374
-11.0065155,6.561506
-14.397566,13.462031
-5.817339,-0.0071216635
-1.0909235,-4.5739403
-9.044677,10.243612
-7.142748,-0.24738456
-7.156844,-0.7647928
-11.019235,9.886709
-12.827914,8.895134
-7.3900805,5.762479
-7.3760767,3.9023883
-12.419244,10.369657
-2.757191,-4.0107956
-3.7187142,-4.8550987
-5.4762855,2.6232963
-5.5700355,1.6759683
-9.466969,1.9897633
-11.718285,10.551313
-14.785212,13.884138
-4.790109,-0.13597119
-4.1009088,-1.7774346
-5.4488435,-4.5108237
-13.575054,10.61008
-12.98985,11.328509
-8.020453,6.058483
-12.9452715,13.928463
-13.057614,12.744665
-13.161716,8.282333
-7.2431564,0.9767781
-5.352196,3.5329065
-5.5371556,0.0145031735
-11.695342,10.656384
-5.933935,-3.6945407
-9.197911,-0.25825804
-8.246251,7.415868
-14.494985,10.697771
-10.96619,6.433727
-5.7582703,4.8834405
-10.195334,5.070738
